City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
292,Anadyr,RU,2020-10-25 03:48:52,64.75,177.48,24.8,92,90,2.24
293,Helena,US,2020-10-25 03:48:48,46.59,-112.04,12.2,66,90,10.29
294,Rockhampton,AU,2020-10-25 03:48:53,-23.38,150.5,77.0,69,75,8.05
295,Lompoc,US,2020-10-25 03:48:53,34.64,-120.46,62.6,72,90,4.7
296,Pimentel,PE,2020-10-25 03:48:53,-6.84,-79.93,61.81,87,72,10.67
297,Letlhakane,BW,2020-10-25 03:48:53,-21.42,25.58,72.28,37,22,8.08
298,Walvis Bay,NA,2020-10-25 03:48:53,-22.96,14.51,57.99,93,11,10.29
299,Dubti,ET,2020-10-25 03:48:53,11.74,41.09,83.5,28,100,6.62
300,Akyab,MM,2020-10-25 03:48:54,20.15,92.9,83.17,79,100,7.87
301,Saldanha,ZA,2020-10-25 03:48:54,-33.01,17.94,60.8,77,0,2.24
302,Bua Yai,TH,2020-10-25 03:48:54,15.59,102.43,80.91,53,85,3.27
